Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,GA,SoTA,Saves,Save%,W,D,L,CS,CS%,PSxG,PSxG/SoT,PSxG+/-,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Pos
401,Wojciech Szczęsny,2023-2024,33,pl POL,Juventus,it Serie A,35,3150,35,35,0,1,30,108,79,74.1,17,13,5,15,42.9,28.33709473,0.24,0.3,828,134,32,32.8,174,43.1,40.2,555,26,4.7,20,11.6,GK
402,Wojciech Szczęsny,2024-2025,34,pl POL,Barcelona,es La Liga,15,1350,15,15,0,14,12,33,21,66.7,14,1,0,8,53.3,11.95718047,0.35,0,398,61,12.3,25.1,54,25.9,31,130,7,5.4,56,20.2,GK
403,Ciprian Tătărușanu,2022-2023,36,ro ROU,Milan,it Serie A,16,1440,16,16,0,22,22,61,40,67.2,9,3,4,4,25,16.8370804,0.25,-4.2,473,75,32.1,32.9,83,51.8,41.8,195,9,4.6,13,14.4,GK
404,Arnau Tenas,2023-2024,22,es ESP,Paris S-G,fr Ligue 1,6,529,5.9,5,1,13,7,25,18,72,2,2,1,1,20,5.99447132,0.24,-1,174,19,23,29.6,37,16.2,27.1,71,2,2.8,5,14.8,GK
405,Marc-André ter Stegen,2022-2023,30,de GER,Barcelona,es La Liga,38,3347,37.2,38,0,0,18,98,83,84.7,28,4,6,26,68.4,23.66767389,0.21,8.7,1215,185,22.1,28.9,197,34,35.2,368,18,4.9,41,16.4,GK
406,Marc-André ter Stegen,2023-2024,31,de GER,Barcelona,es La Liga,28,2520,28,28,0,0,27,102,75,75.5,20,5,3,15,53.6,27.71808733,0.25,0.7,871,115,14.4,26.3,163,25.8,30.9,334,13,3.9,31,15.6,GK
407,Marc-André ter Stegen,2024-2025,32,de GER,Barcelona,es La Liga,8,674,7.5,8,0,3,9,22,13,63.6,7,0,1,1,12.5,6.44451435,0.26,-2.6,224,40,12.1,26.5,27,14.8,32,83,5,6,13,17,GK
408,Pietro Terracciano,2022-2023,32,it ITA,Fiorentina,it Serie A,29,2610,29,29,0,8,38,96,59,66.7,9,8,12,5,17.2,33.08049394,0.28,-2.9,871,113,32.7,33.2,198,45.5,40.5,271,12,4.4,55,18.4,GK
409,Pietro Terracciano,2023-2024,33,it ITA,Fiorentina,it Serie A,33,2970,33,33,0,5,35,126,90,77,15,8,10,8,24.2,40.17188874,0.27,5.2,1051,120,29,32.1,176,43.8,38.2,307,7,2.3,23,14.6,GK
410,James Trafford,2023-2024,20,eng ENG,Burnley,eng Premier League,28,2520,28,28,0,8,62,166,106,65.7,3,5,20,2,7.1,54.07416441,0.3,-5.9,1332,162,33.9,31.3,198,78.3,54.2,419,30,7.2,43,15,GK
411,Kevin Trapp,2022-2023,32,de GER,Eint Frankfurt,de Bundesliga,33,2970,33,33,0,0,51,130,80,62.3,13,10,10,6,18.2,42.25990033,0.32,-7.7,664,128,39.2,34.8,219,30.1,34.1,401,17,4.2,24,14.4,GK
412,Kevin Trapp,2023-2024,33,de GER,Eint Frankfurt,de Bundesliga,32,2880,32,32,0,0,48,137,87,71.5,10,13,9,7,21.9,48.31062389,0.28,0.3,949,137,28.9,29.8,212,41,36.2,452,16,3.5,30,15.2,GK
413,Kevin Trapp,2024-2025,34,de GER,Eint Frankfurt,de Bundesliga,26,2295,25.5,26,0,0,34,117,82,70.9,12,8,6,6,23.1,34.91875737,0.3,1.9,813,123,31.7,29.9,130,41.5,36.9,394,24,6.1,28,13.6,GK
414,Mark Travers,2022-2023,23,ie IRL,Bournemouth,eng Premier League,12,1035,11.5,11,1,26,32,66,36,54.5,2,0,9,2,18.2,23.98805323,0.34,-6,250,54,35.6,31.9,118,55.1,43.8,229,5,2.2,5,10.5,GK
415,Mark Travers,2024-2025,25,ie IRL,Bournemouth,eng Premier League,5,450,5,5,0,18,5,25,20,80,2,2,1,1,20,9.4610774,0.38,4.5,103,29,41.7,36.3,39,76.9,55.8,63,1,1.6,5,12.9,GK
416,Stefano Turati,2023-2024,21,it ITA,Frosinone,it Serie A,31,2745,30.5,31,0,2,58,152,94,65.1,6,9,16,4,12.9,47.52885667,0.28,-9.5,919,147,27.3,29.2,144,45.1,38.8,412,18,4.4,19,13.7,GK
417,Stefano Turati,2024-2025,22,it ITA,Monza,it Serie A,30,2676,29.7,30,0,4,52,145,93,65.5,2,7,21,2,6.7,47.44220264,0.31,-2.6,942,126,38.3,33.7,131,61.8,46.9,414,22,5.3,26,13.3,GK
418,Matt Turner,2023-2024,29,us USA,Nott'ham Forest,eng Premier League,17,1530,17,17,0,20,28,80,52,67.5,4,5,8,2,11.8,22.10333286,0.26,-5.9,436,99,42.7,35.7,136,69.1,47,296,30,10.1,18,13.3,GK
419,Sven Ulreich,2023-2024,34,de GER,Bayern Munich,de Bundesliga,11,990,11,11,0,21,12,31,19,64.5,7,2,2,4,36.4,11.8391,0.35,-0.2,348,57,20.4,26.2,47,17,26.4,108,5,4.6,16,19.9,GK
420,Jonas Urbig,2024-2025,20,de GER,Bayern Munich,de Bundesliga,8,720,8,8,0,7,12,28,16,57.1,4,3,1,2,25,10.28793578,0.38,-1.7,263,33,26.2,30.9,23,43.5,43.1,81,5,6.2,21,17.4,GK
421,Álvaro Vallés,2023-2024,26,es ESP,Las Palmas,es La Liga,37,3263,36.3,37,0,0,44,152,108,74.3,10,10,17,8,21.6,48.7059758,0.28,7.7,1762,194,21.7,27.3,151,42.4,39.1,521,29,5.6,96,17.8,GK
422,Maarten Vandevoordt,2024-2025,22,be BEL,RB Leipzig,de Bundesliga,6,429,4.8,4,2,28,9,21,12,57.1,1,1,2,0,0,7.34694096,0.36,-1.7,139,27,23,29.4,35,57.1,46,78,7,9,11,16.1,GK
423,Nikola Vasilj,2024-2025,28,ba BIH,St. Pauli,de Bundesliga,33,2969,33,33,0,0,39,135,93,71.9,8,7,18,9,27.3,47.4084218,0.32,9.4,1267,107,34.2,32.7,134,44.8,38,411,24,5.8,27,12.8,GK
424,Devis Vásquez,2024-2025,26,co COL,Empoli,it Serie A,32,2880,32,32,0,6,45,125,79,64.8,6,12,14,6,18.8,40.23696424,0.31,-4.8,953,104,48.5,39,150,65.3,52,490,36,7.3,15,10.9,GK
425,Bart Verbruggen,2023-2024,20,nl NED,Brighton,eng Premier League,21,1890,21,21,0,17,28,91,63,72.5,7,8,6,4,19,25.40887317,0.25,-2.6,789,117,17.1,24.4,72,9.7,15.7,232,17,7.3,31,15.8,GK
426,Bart Verbruggen,2024-2025,21,nl NED,Brighton,eng Premier League,36,3240,36,36,0,0,58,143,87,65.7,14,13,9,7,19.4,50.97526827,0.31,-5,1226,122,26.9,29.7,83,67.5,48.5,414,27,6.5,47,13.9,GK
427,Guglielmo Vicario,2022-2023,25,it ITA,Empoli,it Serie A,31,2783,30.9,31,0,0,39,134,95,73.9,9,12,10,7,22.6,40.85954138,0.27,2.9,1106,151,33.5,33.8,170,50,42.9,606,34,5.6,22,11.5,GK
428,Guglielmo Vicario,2023-2024,26,it ITA,Tottenham,eng Premier League,38,3420,38,38,0,0,61,167,109,67.7,20,6,12,7,18.4,60.02622847,0.32,2,1363,193,14.3,24,201,14.9,22.2,511,33,6.5,81,17.1,GK
429,Guglielmo Vicario,2024-2025,27,it ITA,Tottenham,eng Premier League,24,2160,24,24,0,2,37,102,67,64.7,9,3,12,4,16.7,37.42455017,0.36,2.4,809,120,10.5,22.8,65,15.4,22.8,312,30,9.6,31,13.3,GK
430,Iván Villar,2022-2023,25,es ESP,Celta Vigo,es La Liga,19,1710,19,19,0,19,24,62,38,66.1,6,5,8,4,21.1,22.22075265,0.31,-1.8,435,96,34.7,33.8,157,56.1,44.8,256,8,3.1,14,14.2,GK
431,Iván Villar,2023-2024,26,es ESP,Celta Vigo,es La Liga,12,1014,11.3,12,0,22,18,44,26,63.6,2,4,6,0,0,16.262617,0.31,-0.7,223,48,35.4,34.4,98,60.2,45.7,136,5,3.7,9,13.2,GK
432,Odysseas Vlachodimos,2023-2024,29,gr GRE,Nott'ham Forest,eng Premier League,5,450,5,5,0,14,12,22,10,50,1,0,4,1,20,7.854,0.31,-4.1,130,21,25.4,29.6,44,61.4,44.3,92,3,3.3,2,10.3,GK
433,Christian Walton,2024-2025,28,eng ENG,Ipswich Town,eng Premier League,7,630,7,7,0,27,19,39,20,56.4,1,1,5,1,14.3,17.05128798,0.4,-1.9,204,35,42.6,34.3,51,56.9,44.5,111,12,10.8,2,8.2,GK
434,Danny Ward,2022-2023,29,wls WAL,Leicester City,eng Premier League,26,2340,26,26,0,9,46,119,75,63,7,3,16,6,23.1,36.52587251,0.29,-5.5,750,154,29.7,30.4,190,42.1,35.1,355,20,5.6,42,15.9,GK
435,Timon Weiner,2024-2025,25,de GER,Holstein Kiel,de Bundesliga,25,2250,25,25,0,7,61,140,81,59.3,4,5,16,2,8,47.24663409,0.32,-11.8,789,116,40.2,34.5,198,64.1,48.4,491,27,5.5,18,11.1,GK
436,Robin Zentner,2022-2023,27,de GER,Mainz 05,de Bundesliga,26,2340,26,26,0,1,39,109,69,67,9,8,9,7,26.9,35.40318503,0.3,-3.6,672,146,50,40,194,71.1,54.1,321,43,13.4,53,17.4,GK
437,Robin Zentner,2023-2024,28,de GER,Mainz 05,de Bundesliga,30,2700,30,30,0,0,48,128,81,64.8,7,12,11,7,23.3,49.2399987,0.37,2.2,862,146,47.3,38.5,177,58.8,46.4,393,42,10.7,48,16,GK
438,Robin Zentner,2024-2025,29,de GER,Mainz 05,de Bundesliga,32,2880,32,32,0,0,41,142,100,73.9,13,9,10,9,28.1,44.95720675,0.29,4,977,132,46.2,38.7,179,64.8,52.1,524,45,8.6,58,14,GK
439,Michael Zetterer,2023-2024,28,de GER,Werder Bremen,de Bundesliga,27,2430,27,27,0,7,37,128,92,74.2,9,9,9,6,22.2,40.97427244,0.3,5,977,161,28.5,32.7,144,36.1,38.1,407,34,8.4,30,14.6,GK
440,Michael Zetterer,2024-2025,29,de GER,Werder Bremen,de Bundesliga,34,3060,34,34,0,0,57,156,102,65.4,14,9,11,10,29.4,52.91460667,0.33,-1.1,1204,188,27.7,31.9,107,33.6,36.8,464,35,7.5,34,13.5,GK
441,Jeroen Zoet,2022-2023,31,nl NED,Spezia,it Serie A,5,334,3.7,4,1,24,4,13,9,76.9,0,3,1,0,0,2.8295,0.14,-1.2,110,13,54.5,39,23,78.3,58.4,62,4,6.5,6,14.7,GK